번호,가구,획지유형,면적_㎡,전면폭_m,깊이_m,세장비,접도연장_m,맹지
B01-01,B01,기준 미달,20.7,14.1,1.5,0.1,25.2,
B01-02,B01,중,335.5,14.1,23.7,1.68,14.7,
B01-03,B01,중,370.3,14.1,26.2,1.85,14.4,
B01-04,B01,중,370.0,14.1,26.2,1.85,14.4,
B01-05,B01,중,369.6,14.1,26.2,1.85,14.4,
B01-06,B01,중,369.4,8.3,44.4,5.34,14.7,
B01-07,B01,중,369.3,14.1,26.1,1.85,14.4,
B01-08,B01,중,369.3,14.1,26.1,1.85,14.4,
B01-09,B01,중,369.3,14.1,26.1,1.85,14.4,
B01-10,B01,중,352.5,26.2,13.4,0.51,39.5,
B01-11,B01,기준 미달,136.9,1.0,133.0,129.24,1.1,
B01-12,B01,중,369.1,14.1,26.1,1.85,14.2,
B01-13,B01,중,365.6,14.1,25.9,1.83,14.2,
B01-14,B01,중,362.1,14.1,25.6,1.81,14.2,
B01-15,B01,중,358.6,14.1,25.4,1.8,14.2,
B01-16,B01,중,355.1,14.1,25.1,1.78,14.2,
B01-17,B01,중,351.6,14.1,24.9,1.76,14.2,
B01-18,B01,중,348.1,14.1,24.6,1.74,14.2,
B01-19,B01,중,339.4,24.2,14.0,0.58,38.4,
B02-01,B02,중,352.2,14.1,25.1,1.78,14.2,
B02-02,B02,중,360.4,14.1,25.5,1.8,14.2,
B02-03,B02,중,360.4,14.1,25.5,1.8,14.2,
B02-04,B02,중,360.4,14.1,25.5,1.8,14.2,
B02-05,B02,중,360.4,14.1,25.5,1.8,14.2,
B02-06,B02,중,360.4,14.1,25.5,1.8,14.2,
B02-07,B02,중,258.5,25.4,10.2,0.4,35.6,
B02-08,B02,중,272.0,10.5,25.8,2.45,10.8,
B02-09,B02,중,320.0,13.0,24.7,1.91,14.8,
B02-10,B02,중,328.5,14.2,23.2,1.63,14.5,
B02-11,B02,중,342.8,14.2,24.2,1.7,14.5,
B02-12,B02,중,356.4,10.5,34.0,3.25,14.5,
B02-13,B02,중,358.6,14.2,25.3,1.79,14.5,
B02-14,B02,중,255.9,25.1,10.2,0.41,43.5,
B03-01,B03,중,282.4,14.1,20.1,1.43,14.2,
B03-02,B03,대,408.5,14.1,29.0,2.06,14.1,
B03-03,B03,대,408.5,14.1,29.0,2.06,14.1,
B03-04,B03,대,408.5,29.0,14.1,0.49,43.2,
